,text,name,favourite_count,retweet_count,created_at
0,"EXIGIMOS UN DISCULPA RÁPIDA Y PÚBLICA!!!!!
#ApologizeABCCOLOR 
#DisculpateMikeSilvero 
#DisculpateABCCOLOR 
#DisculpateMikeSilvero 
#ApologizeMikeSilvero 
#ApologizeABCCOLOR 
#DisculpateMikeSilvero 
#DisculpateABCCOLOR",_.armyforever._7,0,0,2021-06-18 00:49:29
1,"RT @jhopecatz: abc: su éxito es manipulado 
bts en 2019: 

#DisculpateABCCOLOR https://t.co/RyGnH3jQ7r",💜⟭⟬SOL_Butter⟬⟭⁷💛,0,6423,2021-06-18 00:49:29
2,"RT @BTSLATAM7: ""Si al final nuestro chaleco antibalas no puede protegerlos, sentiremos las balas a su lado"".

#DisculpateABCCOLOR 
#Disculp…",JIN BTS ARMY💜,0,87,2021-06-18 00:49:21
3,"Si Kim Namjoon era presidente íbamos a tener eso y más, pero que paja tener que representar un país de ignorantes
#ApologizeMikeSilvero 
#DisculpateMikeSilvero 
#ApologizeABCCOLOR 
#DisculpateABCCOLOR 
#RACISMISNOTCOMEDY https://t.co/C1cDiiCjwy",Nora Park 🇵🇾🇵🇾,1,0,2021-06-18 00:48:02
4,"RT @AlexiaDayrin: “Si no puedes respetar, ni siquiera abras la boca”-Kim Namjoon #ApologizeMikeSilvero #DisculpateMikeSilvero EXIGIMOS UNA…",isa⁷💜🇲🇽,0,62,2021-06-18 00:47:39
5,"RT @Keinth0: Tengo 17 años, un paso de ser adulta, no estoy ""enamorada"" de ellos, aprecio y admiro a esos chicos que me sacaron de mis peor…",isa⁷💜🇲🇽,0,45,2021-06-18 00:47:22
6,"RT @Cami_Army2712: AMIS💜NUNCA OLVIDEN ESTO...😓

BANGTAN: ""Army la pasó muy mal porque nos quería proteger""🥺

ARMY: ""Si al final no podemos…",isa⁷💜🇲🇽,0,92,2021-06-18 00:46:49
7,"RT @BangtanArmyBest: Gritalo Jimin 🤺

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsLibertadDeExpresion
#RacismIsNotFreedomOfExp…",Melissa Montes,0,4,2021-06-18 00:46:47
8,@mikeotr @DoveMenCare País tercermundista con iPhones y encima machistas y apoyan a un racista les va de puta madre a ustedes. #payasos #DisculpateMikeSilvero #DisculpateABCCOLOR #DisculpateABC,Lalyversus ⁷,0,0,2021-06-18 00:46:04
9,"RT @Michelle120399: ""Army se hace daño a si mismos idolatrando a 7 veinteañeros"" 
No sabía que ser fan de personas siempre buscan que su fa…",Isabel Swam,0,105,2021-06-18 00:45:55
10,"RT @gracia_es12: Que culero quien se cree este vato  JAJAJAAJAJAJA 
#DisculpateMikeSilvero
#ApologizeABCCOLOR 
#DisculpateABCCOLOR https://…",ᵇᵉ🍒𝐾 𝐸 𝑌🇵🇪,0,1,2021-06-18 00:45:30
11,@mikeotr 저주 받은 por si no sabe de qué hablo viejo de 40 años aprenda a leer #DisculpateABCCOLOR,Daniela,0,0,2021-06-18 00:44:39
12,"RT @Valetn_029: Si porque este es uno de los ""productos sobre valorados""

El mundo nesesita más personas como Kim Taehyung

#ApologizeMikeS…",Elizabeth Salcedo,0,599,2021-06-18 00:43:38
13,"RT @MagaliG60677807: Es que no puedo, JAJAJAJAJAJAJAJA
#DisculpateABCCOLOR  #ApologizeABCCOLOR https://t.co/hoWwD3RvWZ",Celeste,0,299,2021-06-18 00:43:28
14,"GENTE NO PAREN DE USAR LOS # 
NO PAREN YA NO SOMOS TENDENCIAS, NO SE DESANIMEN Y SEGUIREMOS ASI NO VAMOS A LOGRAR NADA Y ESTA GENTE TIENE QUE DISCULPARSE 

#ApologizeMikeSilvero 
#DisculpateMikeSilvero 
#ApologizeABCCOLOR 
#DisculpateABCCOLOR 
#ElRacismoNoEsLibertadDeExpresion https://t.co/CEaTuJbvC8",Nora Park 🇵🇾🇵🇾,1,0,2021-06-18 00:43:27
15,"RT @ChimmySun: JIMIN Y Becky g dijeron : La gente que crítica simplemente me da pena. 

La Rap líne dijeron : Ustedes, envidioso, resentido…",isa⁷💜🇲🇽,0,111,2021-06-18 00:43:26
16,@JuanVillalba84 @Simp_de_eve @mikeotr El respeto se gana y el se lo busco ahora que afínque con las consecuencias. 💅 #DisculpateMikeSilvero #DisculpateABCCOLOR,Lalyversus ⁷,0,0,2021-06-18 00:42:53
17,@JungkookieAry @BTS_twt Es un horror tener comunicadores como ese en tu país #DisculpateMikeSilvero #DisculpateABCCOLOR,Sandy Bell🍊,1,0,2021-06-18 00:42:06
18,"RT @StephArmyH: Quieren respeto pero no aprende a respetar el trabajo duro de los demás.

EXIGIMOS UNA DISCULPA! 
#DisculpateMikeSilvero #D…",🎄❄ᥴꪊꪗ ꪀꪖꪜⅈᦔꫀñꪮ✨🐿,0,36,2021-06-18 00:41:53
19,"RT @92jinlovrss: EXIGIMOS UNA DISCULPA! 

NO NOS VAMOS A QUEDAR CALLADOS!! 

#DisculpateMikeSilvero
#DisculpateABCCOLOR
#ElRacismoNoEsLiber…",Luisa Tehuacanero,0,2494,2021-06-18 00:40:01
20,"RT @Solarami10: Se le hizo una entrevista a una army paraguaya #DisculpateMikeSilvero 
#DisculpateABCCOLOR
#ApologizeABCCOLOR https://t.co/…",Guadalupe _ Vicencio 712,0,235,2021-06-18 00:38:48
21,"@nu1_nunez @hectordalegre @mikeotr Payaso eres tú y no soy una nena, soy una adulta. que mucho les gusta asumir a ustedes, mira como te explotamos los cojones, quien es el llorón? Pero sabes que quédate para que veas como le cagamos la fiesta. #DisculpateMikeSilvero #DisculpateABCCOLOR",Lalyversus ⁷,0,0,2021-06-18 00:38:35
22,"RT @_____Xim______: #RACISMISNOTCOMEDY
#ApologizeABCCOLOR 
#ApologizeMikeSilvero 
#DisculpateABCCOLOR 
#DisculpateMikeSilvero 
DEJEN DE JUS…",Diana,0,581,2021-06-18 00:37:15
23,"RT @minpark_taekook: Si cree que ARMY dejará esto pasar, esta muy equivocado, basta de burlas, su xenofobia no lo puede hacer ver más estúp…",kook,0,43,2021-06-18 00:37:13
24,"RT @StephArmyH: Quieren respeto pero no aprende a respetar el trabajo duro de los demás.

EXIGIMOS UNA DISCULPA! 
#DisculpateMikeSilvero #D…",kook,0,36,2021-06-18 00:36:58
25,"RT @sugadboy: — Estoy harta de que no midan el peso de sus palabras, harta de que disfracen el racismo con “libertad de expresión”.
¿Hasta…",💛Mimin♥《🍁🍷》🌑🌻,0,2850,2021-06-18 00:36:20
26,"@mikeotr 40 años señor, y no sabe como pedir una disculpa apropiadamente. 0 profesional en su trabajo, una sola cosa tenía que hacer, y lo hizo de la peor forma posible. 

#RACISMISNOTCOMEDY
#ApologizeABCCOLOR 
#ApologizeMikeSilvero 
#DisculpateABCCOLOR 
#DisculpateMikeSilvero",ꦼ . ӄ օ ʄ ɨ . ଼ཻ៹۟ ᵗᵉᵗᵉ,1,0,2021-06-18 00:35:44
