text,name,favourite_count,retweet_count,created_at,polaridad,subjetividad,sentiment,neg,neu,pos,compound
abc su éxito es manipudo bts   DisculpateABCCOLOR ,BTS memes,0,6468,2021-06-21 12:44:30,0.0,0.0,neutral,0.0,1.0,0.0,0.0
¡Por favor remuevan e artícu  está nformando a  gte y perjudicando artistas! …,M A R I A,0,68,2021-06-21 12:17:06,0.0,0.0,positive,0.0,0.834,0.166,0.4574
Te recuerdo  bes a disculpa.DisculpateMikeSilvero ApogizeMikeSilvero DisculpateABCCOLOR Apo…,La_pulga_de_yeontan😗,0,3,2021-06-21 12:10:12,0.0,0.0,neutral,0.0,1.0,0.0,0.0
📄MEMORIASRecormos  emocionado  estaba 🐱 cuando contró s links ilegales  ver  partido  fútbol.Apo…,Diana Aguilar,0,1,2021-06-21 11:41:32,0.0,0.0,neutral,0.0,1.0,0.0,0.0
“Por  eternidad quédate aquí... Oye promete con  do meñi ”                      —Frids/ V and Jimin.Ap…,Diana Aguilar,0,2,2021-06-21 11:41:18,0.0,0.0,neutral,0.0,1.0,0.0,0.0
“Nuestros fans recib muchas críticas so por r fans  idols  son realmte grans personas do honesto so…,Diana Aguilar,0,2,2021-06-21 11:40:39,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Hook no estoy guro  a Yoongi le guste le pulra Yoongi automáticamteApogizeABCCOLOR DisculpateABCCOLOR…,Diana Aguilar,0,2,2021-06-21 11:40:08,0.0,0.0,negative,0.128,0.872,0.0,-0.296
Bril sueña sonríe déjanos brilr a nuestra manera déjanos iluminar  noche brilmos tal y  somos” - Mikroko…,Diana Aguilar,0,2,2021-06-21 11:38:01,0.0,0.0,neutral,0.0,1.0,0.0,0.0
📄 MEMORIAS La vez   a prtación  The Truth Untold Army psó  Jgkook estaba lrando   realidad s…,Diana Aguilar,0,0,2021-06-21 11:37:47,0.0,0.0,positive,0.0,0.905,0.095,0.3182
👀 CURIOSIDAD Un día suga  a trevista dijo   idioma  más le atraía era  español  habr con L-Army…,Diana Aguilar,0,0,2021-06-21 11:37:19,0.0,0.0,neutral,0.0,1.0,0.0,0.0
📄 MEMORIAS Recormos  vez  Suga le dijo a Jimin  rompería con  por no ayudar a contrar s tarjetas ton…,Diana Aguilar,0,0,2021-06-21 11:37:04,0.0,0.0,negative,0.095,0.905,0.0,-0.296
DATO📄La camisa  🐹 cía La gte sprecia s cosas  no pu tr  s  ti esperanzas y sueños…,Diana Aguilar,0,6,2021-06-21 11:32:57,0.0,0.0,negative,0.095,0.905,0.0,-0.296
hombres geración  cristalx maradona no era bua per-hombres CALLATE QUE DECIS DE MARADONA MI REY MEJOR Q TUS CHNI…,Oliver Matt ||-//,0,0,2021-06-21 10:08:34,0.0,0.0,negative,0.091,0.909,0.0,-0.296
Qué horror todos s medios distoronando y tomando datos   artícu   mismo autor admitió   equivocó   f…,Iracebeth Park⁷ 🧈,0,3885,2021-06-21 08:13:02,0.0,0.0,negative,0.139,0.861,0.0,-0.5719
La difamación y odio  sus publicaciones son inaceptables do medios  comicación están   ber  i…,Genesis,0,85,2021-06-21 08:00:33,0.0,0.0,neutral,0.0,1.0,0.0,0.0
EXIGIMOS  DISCULPA!!DisculpateMikeSilveroDisculpateABCCOLORElRacismoNoEsLibertadDeExpreonRacismIsNotFree…,𝐃𝐘𝐋𝐀𝐍꯭⅞ 🇦🇷,0,1,2021-06-21 05:21:18,0.0,0.0,neutral,0.0,1.0,0.0,0.0
Los medios  comicación dic r profeonales  NO sé informan antes  habr  algún tema nosotros estamos aq…,💜LoreNamu⁷💜,0,2104,2021-06-21 05:16:17,0.0,0.0,negative,0.123,0.877,0.0,-0.4466
Pero voy al pto... Lo  me lleva a esto remos a disculpa ¿por  no reconoces tu error? Estamos realmte muy ojad por dicha tuación Y exigimos respeto Es haber redactado bi mi ia  manera corta y concreta. DisculpateMikeSilvero DisculpateABCCOLOR,Cassandra Navarro,0,0,2021-06-21 05:09:07,0.0,0.0,negative,0.117,0.883,0.0,-0.5994
Recormos   ya sucedió   hace os días A   todos hemos exigido a disculpa  Mike Silvero ya  hizo a falta  respeto muy gran  ARMY DisculpateMikeSilvero DisculpateABCCOLOR,Cassandra Navarro,0,0,2021-06-21 05:09:06,0.0,0.0,neutral,0.0,1.0,0.0,0.0
DisculpateMikeSilvero DisculpateABCCOLORLa máxima expreón l amor es  respeto a o mismo y a s másComcemos esto recordando  pabra RESPETO ¿QUE ES EL RESPETO?,Cassandra Navarro,0,0,2021-06-21 05:09:06,0.0,0.0,positive,0.0,0.852,0.148,0.6124
“Tampoco son muy buos    hac” Exigimos a disculpa DisculpateMikeSilvero DisculpateABCCOLOR …,𝙳𝙰𝚁𝚈⁷🐝🇨🇴,0,493,2021-06-21 04:55:58,0.0,0.0,neutral,0.0,1.0,0.0,0.0
  Es a pa  s personas pin así  ni modo hasta  no les to  pasar por algo así no van a tr. DisculpateMikeSilvero DisculpateABCCOLOR,Jeiseok :D,0,0,2021-06-21 04:52:10,0.0,0.0,negative,0.145,0.855,0.0,-0.5267
